,Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Battery Power Output [MW],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],"Turbine H2 Input [kg]""",Tank Holdup [kg],Turbine Power Output [MW]
0,811.7157416097322,811.7157415804334,811.715741579853,7.091170460088761e-09,173.89024527812578,5.803295916528404e-10,2.2788063421178824e-08,4.1469291568709714e-07,4.1470029318018247e-07,4.013513589194508e-07,0.0,200.12202926021158,0.0
1,797.7218506742469,797.7218506483836,797.7218506478056,3.6532450555193825e-09,173.8902452809881,5.778453854125289e-10,2.2788010682730484e-08,4.1469195604755065e-07,4.1469933357015756e-07,3.9661779214948723e-07,0.0,200.12202933607773,0.0
2,795.1038801249967,795.1038800999885,795.1038800994123,2.7965358379668103e-09,173.89024528303838,5.761221049067406e-10,2.2787998140762756e-08,4.146917278313053e-07,4.146991053609097e-07,3.9511449242563986e-07,0.0,200.1220294132747,0.0
3,762.0653955314646,762.0653955068879,762.065395506313,2.3634937499726373e-09,173.8902452846787,5.747489449095023e-10,2.2787991542554413e-08,4.146916077689014e-07,4.146989853021686e-07,3.944072695799093e-07,0.0,200.12202949104142,0.0
4,794.3990194309333,794.3990194066275,794.399019406054,2.0913913368778175e-09,173.89024528606174,5.735831691794422e-10,2.2787986381551124e-08,4.1469151385817307e-07,4.146988913942987e-07,3.9368287807554536e-07,0.0,200.12202956941587,0.0
5,804.7695878530094,804.7695878288937,804.7695878283212,1.9001705061728475e-09,173.89024528726424,5.72563723334242e-10,2.2787988247278578e-08,4.1469154780725376e-07,4.1469892534229675e-07,3.952237467434081e-07,0.0,200.1220296461475,0.0
6,797.7218506730824,797.7218506491097,797.7218506485381,1.7563161614983682e-09,173.89024528833102,5.716323545780309e-10,2.2787988761980405e-08,4.1469155717278863e-07,4.1469893470750134e-07,3.9614818907771724e-07,0.0,200.12202972186162,0.0
7,814.3329055495433,814.3329055256831,814.3329055251123,1.6429786954679343e-09,173.89024528929102,5.707820580789934e-10,2.2787989487347816e-08,4.146915703716283e-07,4.1469894790588826e-07,3.970824492998837e-07,0.0,200.12202979655643,0.0
8,797.6211619193826,797.6211618956139,797.6211618950439,1.5506678996760998e-09,173.89024529016422,5.699675543277257e-10,2.278798497914091e-08,4.1469148833927525e-07,4.1469886587600776e-07,3.9612466292306395e-07,0.0,200.12202987212748,0.0
9,758.1355106399818,758.1355106162896,758.1355106157204,1.4735981085026129e-09,173.89024529096494,5.692441721528765e-10,2.2787988477565945e-08,4.1469155199720647e-07,4.1469892953191907e-07,3.980012614012874e-07,0.0,200.12202994574966,0.0
10,686.5257357831282,686.5257357595008,686.5257357589322,1.4079458811444934e-09,173.89024529170402,5.685449801008794e-10,2.2787987466689443e-08,4.14691533602957e-07,4.1469891113816806e-07,3.9828881499142553e-07,0.0,200.12203001901437,0.0
11,521.350284854428,521.3502848308567,521.3502848302888,1.3511245398341703e-09,173.8902452923898,5.678873055242865e-10,2.27879858897579e-08,4.1469150490862364e-07,4.146988824446346e-07,3.9841824235895183e-07,0.0,200.12203009208386,0.0
12,290.7582653132341,290.75826528971214,290.75826528914484,1.301300304044657e-09,173.8902452930289,5.672689834763122e-10,2.2787984357071133e-08,4.146914770192958e-07,4.1469885455604097e-07,3.9864530351372283e-07,0.0,200.1220301648644,0.0
13,58.630938285678226,58.6309382621998,58.630938261633105,1.2571303310839168e-09,173.89024529362666,5.666866650314119e-10,2.2787981952852028e-08,4.1469143327053557e-07,4.1469881080807674e-07,3.992518348143376e-07,0.0,200.12203023698015,0.0
14,51.94775038379305,51.947750360353595,51.94775035978746,1.2176081354097368e-09,173.89024529418742,5.661373483992647e-10,2.2787980397052053e-08,4.146914049605595e-07,4.146987824988099e-07,3.9950893257168705e-07,0.0,200.12203030878385,0.0
15,103.82265666450961,103.82265664110527,103.82265664053965,1.1819695552308067e-09,173.8902452947149,5.656182350878509e-10,2.2787979799350685e-08,4.146913940851523e-07,4.146987716239817e-07,3.993618532092483e-07,0.0,200.1220303806827,0.0
16,163.8396078861747,163.83960786280224,163.83960786223707,1.1496352172533556e-09,173.89024529521217,5.651262671426749e-10,2.2787978915075102e-08,4.146913779947464e-07,4.146987555340972e-07,3.993384186494339e-07,0.0,200.12203045255578,0.0
17,125.96968037527017,125.96968035192667,125.96968035136202,1.1201725160998547e-09,173.89024529568198,5.646579887459575e-10,2.2787978091046372e-08,4.146913630002249e-07,4.146987405398735e-07,3.9944008719243713e-07,0.0,200.12203052428032,0.0
18,119.9312225657271,119.93122254241008,119.93122254184587,1.0932608346517672e-09,173.89024529612666,5.642096284365755e-10,2.2787977938827103e-08,4.146913602301746e-07,4.146987377697897e-07,3.9946619292192656e-07,0.0,200.12203059593392,0.0
19,231.06770476583833,231.0677047425455,231.06770474198174,1.068648186993789e-09,173.89024529654844,5.637773577023247e-10,2.278797874209663e-08,4.1469137484668706e-07,4.1469875238588074e-07,3.993464941223364e-07,0.0,200.122030667664,0.0
20,307.8201170133509,307.8201169900802,307.82011698951686,1.04609889701039e-09,173.89024529694922,5.633575538489624e-10,2.2787979898660537e-08,4.1469139589160233e-07,4.146987734300701e-07,3.993116705467661e-07,0.0,200.122030739387,0.0
21,409.56386814148965,409.5638681182392,409.5638681176763,1.0253498448432729e-09,173.8902452973307,5.629471458538199e-10,2.2787981441629624e-08,4.146914239676075e-07,4.1469880150512415e-07,3.993167073571589e-07,0.0,200.1220308110639,0.0
22,295.6526652825786,295.65266525934715,295.6526652587846,1.0061017829112782e-09,173.89024529769435,5.625435323673506e-10,2.2787982930821178e-08,4.1469145106495116e-07,4.1469882860148965e-07,3.994065630035753e-07,0.0,200.12203088261063,0.0
23,419.50901488796774,419.5090148647539,419.5090148641917,9.880547520298373e-10,173.89024529804126,5.621447105068826e-10,2.2787984353494424e-08,4.146914769520419e-07,4.1469885448770347e-07,3.995054111590644e-07,0.0,200.12203095401864,0.0
24,520.2318057300423,520.2318057068452,520.2318057062834,9.70964548850207e-10,173.89024529837238,5.617491958493024e-10,2.2787985367550966e-08,4.146914954038231e-07,4.1469887293881787e-07,3.9969421509807354e-07,0.0,200.1220310251983,0.0
25,300.4392190935408,300.4392190703595,300.4392190697981,9.546808101558813e-10,173.89024529868846,5.613560223714095e-10,2.278798587122701e-08,4.1469150456849407e-07,4.146988821030463e-07,4.000181558221867e-07,0.0,200.12203109601475,0.0
26,252.60991702810648,252.60991700494034,252.60991700437935,9.391442668965142e-10,173.89024529899015,5.609647305940504e-10,2.278798614825663e-08,4.1469150960910884e-07,4.1469888714336976e-07,4.004094929331553e-07,0.0,200.1220311664007,0.0
27,191.2077715578561,191.2077715347043,191.20777153414375,9.243514301530371e-10,173.8902452992782,5.605753217980657e-10,2.2787986244012054e-08,4.1469151135117657e-07,4.1469888888522526e-07,4.0089306662519834e-07,0.0,200.12203123626415,0.0
28,293.98692034831777,293.98692032517965,293.98692032461946,9.103122503773233e-10,173.89024529955333,5.60188160560205e-10,2.2787986614032637e-08,4.1469151808403834e-07,4.1469889561782577e-07,4.013628428954479e-07,0.0,200.12203130561915,0.0
29,560.6548280748726,560.6548280517476,560.6548280511877,8.970213182471716e-10,173.89024529981623,5.59803827760822e-10,2.278798716702027e-08,4.1469152814618693e-07,4.146989056796014e-07,4.019080941911589e-07,0.0,200.12203137439042,0.0
30,660.9738558871952,660.9738558640821,660.9738558635228,8.844484456066732e-10,173.8902453000676,5.594229383373501e-10,2.278798793122934e-08,4.146915420516731e-07,4.1469891958455085e-07,4.0255844862303435e-07,0.0,200.1220314424733,0.0
31,610.1066862393593,610.1066862162579,610.1066862156988,8.725432703287277e-10,173.890245300308,5.590461207605737e-10,2.278798903041978e-08,4.146915620525187e-07,4.146989395846574e-07,4.032870195658508e-07,0.0,200.12203150978993,0.0
32,680.972694509014,680.9726944859235,680.9726944853649,8.612453108705266e-10,173.89024530053814,5.586738422965836e-10,2.278799049122795e-08,4.1469158863344534e-07,4.1469896616464815e-07,4.0406987734657223e-07,0.0,200.1220315762865,0.0
33,740.1946814247375,740.1946814016572,740.1946814010989,8.504932320396229e-10,173.89024530075844,5.58306421539417e-10,2.27879922676411e-08,4.1469162095717197e-07,4.146989984872561e-07,4.0491074217203677e-07,0.0,200.1220316419055,0.0
34,766.4987071877634,766.4987071646932,766.4987071641352,8.402308228545435e-10,173.89024530096935,5.579439877072259e-10,2.2787994292009632e-08,4.1469165779273543e-07,4.1469903532155697e-07,4.0579452728631677e-07,0.0,200.1220317066045,0.0
35,654.6078796081416,654.6078795850808,654.6078795845232,8.304096881017298e-10,173.89024530117132,5.575867393317926e-10,2.2787996539363797e-08,4.1469169868577437e-07,4.146990762132003e-07,4.0672977740160217e-07,0.0,200.12203177033257,0.0
36,124.97778960044376,124.97778957739197,124.97778957683474,8.209896071437159e-10,173.8902453013647,5.572345075487141e-10,2.2787998858738064e-08,4.1469174088921183e-07,4.14699118415155e-07,4.0772915808545686e-07,0.0,200.12203183302606,0.0
37,471.14127372458205,471.1412737015389,471.141273700982,8.119376767881585e-10,173.8902453015498,5.568871000416239e-10,2.2788001461099837e-08,4.146917882421236e-07,4.146991657665135e-07,4.086839735855987e-07,0.0,200.12203189473007,0.0
38,618.5069810931816,618.5069810701468,618.5069810695902,8.032267410669911e-10,173.8902453017271,5.56544337706593e-10,2.2788004121332927e-08,4.146918366480355e-07,4.146992141708206e-07,4.0967257766401493e-07,0.0,200.12203195541125,0.0
39,637.3217842844435,637.3217842614167,637.3217842608606,7.948340956476225e-10,173.89024530189667,5.5620596577346e-10,2.278800683066426e-08,4.146918859473204e-07,4.1469926346845914e-07,4.106942191555936e-07,0.0,200.122032015037,0.0
40,597.4501555682115,597.4501555451925,597.4501555446367,7.867402315607287e-10,173.89024530205896,5.558716650688304e-10,2.2788009529774416e-08,4.146919350606132e-07,4.146993125801084e-07,4.117194607197975e-07,0.0,200.1220320736041,0.0
41,637.018424713543,637.0184246905317,637.0184246899762,7.789279707476365e-10,173.89024530221414,5.555412498439643e-10,2.2788012284928833e-08,4.1469198519372243e-07,4.146993627115546e-07,4.1274639350215594e-07,0.0,200.12203213111127,0.0
42,738.380022586347,738.3800225633429,738.3800225627876,7.713818765990402e-10,173.89024530236256,5.552144104177279e-10,2.2788015044081236e-08,4.146920353995985e-07,4.146994129157747e-07,4.1376626442474534e-07,0.0,200.122032187566,0.0
43,737.7751187915495,737.7751187685523,737.7751187679974,7.640878642297048e-10,173.89024530250433,5.548908850004446e-10,2.278801778199842e-08,4.146920852190714e-07,4.1469946273360204e-07,4.147868572025781e-07,0.0,200.12203224296778,0.0
44,731.32226020054,731.3222601775495,731.322260176995,7.570329384865602e-10,173.89024530263976,5.545704324653025e-10,2.2788020514574334e-08,4.146921349413613e-07,4.146995124542534e-07,4.158051578121848e-07,0.0,200.12203229731927,0.0
45,753.197476759667,753.1974767366829,753.1974767361287,7.502050000259375e-10,173.89024530276902,5.542528323801899e-10,2.278802324112326e-08,4.1469218455399316e-07,4.146995620652551e-07,4.168207488882127e-07,0.0,200.12203235062344,0.0
46,774.4574628908998,774.4574628679222,774.4574628673683,7.435928200717483e-10,173.8902453028923,5.539378864864054e-10,2.278802596414369e-08,4.146922341024246e-07,4.1469961161206087e-07,4.1783707935993657e-07,0.0,200.12203240287988,0.0
47,723.4564477027634,723.4564476797918,723.4564476792382,7.371858790338164e-10,173.89024530300986,5.536254148145443e-10,2.2788028683060753e-08,4.1469228357618637e-07,4.146996610841971e-07,4.1885891129743673e-07,0.0,200.12203245408327,0.0
48,729.2046935294256,729.20469350646,729.2046935059067,7.309743696873585e-10,173.89024530312184,5.533152566257175e-10,2.27880313986332e-08,4.146923329890978e-07,4.146997104954896e-07,4.198813890211905e-07,0.0,200.1220325042332,0.0
49,715.8916819445375,715.8916819215774,715.8916819210244,7.249490231083475e-10,173.89024530322845,5.530072667844221e-10,2.278803410925003e-08,4.1469238231183574e-07,4.146997598166111e-07,4.209084521628912e-07,0.0,200.1220325533253,0.0
50,631.25395091799,631.2539508950357,631.253950894483,7.191012385672445e-10,173.8902453033298,5.527013152515319e-10,2.2788036812361765e-08,4.1469243149800004e-07,4.146998090011588e-07,4.219430974265068e-07,0.0,200.12203260135226,0.0
51,685.516160370941,685.5161603479919,685.5161603474395,7.134227075636169e-10,173.8902453034261,5.523972824568393e-10,2.2788039532657874e-08,4.146924809968758e-07,4.146998584984187e-07,4.2297399216761645e-07,0.0,200.12203264831794,0.0
52,622.8578403874463,622.8578403645024,622.8578403639503,7.079057409211317e-10,173.89024530351745,5.520950625500904e-10,2.278804223405315e-08,4.1469253015181137e-07,4.146999076517406e-07,4.24014919172617e-07,0.0,200.12203269421255,0.0
53,698.537404306947,698.5374042840082,698.5374042834565,7.025431278652765e-10,173.890245303604,5.517945609578931e-10,2.278804495215726e-08,4.146925796108051e-07,4.146999571091217e-07,4.2505173666563863e-07,0.0,200.12203273904032,0.0
54,572.5214823874027,572.5214823644687,572.5214823639172,6.97328001660735e-10,173.89024530368596,5.514956920427312e-10,2.278804763924086e-08,4.1469262850531293e-07,4.14700006002019e-07,4.2610363549817156e-07,0.0,200.12203278278636,0.0
55,636.0072019112574,636.0072018883284,636.0072018877772,6.922539089761795e-10,173.8902453037634,5.511983784508117e-10,2.278805035500003e-08,4.1469267792163875e-07,4.1470005541673403e-07,4.271456199529742e-07,0.0,200.1220328254607,0.0
56,544.3137009926876,544.3137009697631,544.3137009692123,6.873148083198589e-10,173.89024530383648,5.509025483680064e-10,2.2788053034296883e-08,4.146927266744619e-07,4.1470010416795343e-07,4.2819954773231274e-07,0.0,200.12203286705164,0.0
57,579.1111103040174,579.1111102810975,579.1111102805469,6.825048482132445e-10,173.8902453039053,5.506081385211717e-10,2.2788055734860655e-08,4.1469277581428694e-07,4.1470015330617525e-07,4.2924489890891763e-07,0.0,200.12203290756779,0.0
58,551.7247795019027,551.7247794789872,551.724779478437,6.778186622024276e-10,173.89024530396995,5.50315089522259e-10,2.2788058420922803e-08,4.1469282469022686e-07,4.1470020218051433e-07,4.3029480067423184e-07,0.0,200.1220329470048,0.0
59,447.75602901921826,447.75602899630695,447.75602899575694,6.732511467309598e-10,173.89024530403057,5.500233442995213e-10,2.278806107423092e-08,4.1469287297014776e-07,4.1470025045884313e-07,4.313540440194953e-07,0.0,200.12203298535343,0.0
60,309.7938640389735,309.7938640160664,309.79386401551665,6.687974194925782e-10,173.89024530408727,5.497328560360569e-10,2.278806368037939e-08,4.1469292039190665e-07,4.1470029787901844e-07,4.3242560263761733e-07,0.0,200.1220330226015,0.0
61,297.31796626214975,297.3179662392467,297.31796623869724,6.644529226996925e-10,173.89024530414014,5.494435745464559e-10,2.2788066329571073e-08,4.146929685969478e-07,4.1470034608248154e-07,4.3346858701275535e-07,0.0,200.1220330587777,0.0
62,297.1098278192419,297.1098277963428,297.10982779579365,6.602133349272211e-10,173.8902453041893,5.491554590192818e-10,2.278806896508237e-08,4.146930165530707e-07,4.1470039403704046e-07,4.3449969137357464e-07,0.0,200.12203309389403,0.0
63,279.705383376956,279.70538335406064,279.7053833535118,6.560745742527818e-10,173.89024530423478,5.48868467772078e-10,2.278807155793988e-08,4.1469306373304747e-07,4.147004412154727e-07,4.3552478892663576e-07,0.0,200.12203312795666,0.0
64,433.7438636105892,433.74386358769766,433.74386358714906,6.520327672978674e-10,173.89024530427676,5.485825603045213e-10,2.2788074224288044e-08,4.1469311225037863e-07,4.1470048973126975e-07,4.364983044327522e-07,0.0,200.12203316101716,0.0
65,590.967354250444,590.967354227556,590.9673542270077,6.480842897658565e-10,173.89024530431527,5.482977051501449e-10,2.2788076817747104e-08,4.146931594413676e-07,4.147005369207468e-07,4.3747637435650436e-07,0.0,200.1220331930712,0.0
66,608.183324876865,608.1833248539806,608.1833248534326,6.442256638027553e-10,173.89024530435043,5.480138612092042e-10,2.278807934753723e-08,4.1469320547379587e-07,4.147005829516849e-07,4.3845691486372585e-07,0.0,200.12203322411634,0.0
67,402.79141102687424,402.7914110039934,402.7914110034457,6.404536188981906e-10,173.89024530438232,5.477309954003287e-10,2.2788081789070186e-08,4.146932499002327e-07,4.1470062737665805e-07,4.394424435547978e-07,0.0,200.1220332541477,0.0
68,378.3289864295456,378.32898640666815,378.3289864061207,6.367650778400391e-10,173.890245304411,5.474491356340169e-10,2.2788084242466836e-08,4.146932945426007e-07,4.14700672017584e-07,4.4039149137311176e-07,0.0,200.12203328320192,0.0
69,296.4853710852331,296.48537106235904,296.48537106181186,6.331570745789097e-10,173.89024530443652,5.471683629966368e-10,2.2788086797591677e-08,4.146933410360132e-07,4.1470071850948654e-07,4.413972747809711e-07,0.0,200.12203331122228,0.0
70,34.69924878059096,34.69924875772014,34.69924875717325,6.296268513805179e-10,173.890245304459,5.468885668514193e-10,2.2788087915045057e-08,4.146933613675588e-07,4.1470073883947477e-07,4.433038618786342e-07,0.0,200.1220333373081,0.0
71,7.647543480145714,7.647543457278073,7.647543456731463,6.261717754136459e-10,173.89024530447847,5.466098557369622e-10,2.2788078406623024e-08,4.146931883430865e-07,4.1470056581668065e-07,4.474200962434017e-07,0.0,200.12203335924966,0.0
72,5.875483787828174,5.875483764963643,5.875483764417311,6.227892899610297e-10,173.89024530449507,5.463323493762467e-10,2.2788074808848026e-08,4.1469312287434506e-07,4.147005003485056e-07,4.4974132847294477e-07,0.0,200.12203337884213,0.0
73,4.878358274756691,4.8783582518952,4.878358251349144,6.194769921574708e-10,173.89024530450877,5.460558294826004e-10,2.278807008877593e-08,4.146930369843854e-07,4.14700414459905e-07,4.5154968809183285e-07,0.0,200.12203339659857,0.0
74,6.872373605225135,6.872373582366598,6.872373581820818,6.162326383040859e-10,173.89024530451968,5.457802701819986e-10,2.2788083832577415e-08,4.1469328707363827e-07,4.1470066454358557e-07,4.5071789594179803e-07,0.0,200.12203341515945,0.0
75,4.98915614855437,4.989156125698746,4.98915612515324,6.130540672773408e-10,173.8902453045279,5.455056572966743e-10,2.2788074905936177e-08,4.1469312463866593e-07,4.147005021116148e-07,4.5282519341179967e-07,0.0,200.1220334315854,0.0
76,7.315249766177752,7.315249743324956,7.315249742779724,6.099391434583155e-10,173.89024530453344,5.452319283572363e-10,2.278808886144215e-08,4.14693378580455e-07,4.147007560478722e-07,4.5175158542791256e-07,0.0,200.12203344905788,0.0
77,6.761621539930331,6.761621517080315,6.761621516535357,6.068860782717311e-10,173.8902453045363,5.449590360847708e-10,2.278808841065892e-08,4.14693370377091e-07,4.147007478443501e-07,4.5258469515266644e-07,0.0,200.1220334656699,0.0
78,8.089731872551532,8.089731849704233,8.089731849159547,6.038928093652557e-10,173.89024530453665,5.4468681693848e-10,2.2788094324572125e-08,4.146934779895867e-07,4.1470085545439877e-07,4.5257877964671385e-07,0.0,200.12203348226078,0.0
79,7.204596291374709,7.204596268530073,7.204596267985657,6.009576653981463e-10,173.89024530453452,5.444150632526099e-10,2.2788094041775465e-08,4.146934728426686e-07,4.1470085030709284e-07,4.5377757815514126e-07,0.0,200.1220334976256,0.0
80,4.767551604707167,4.76755158186515,4.7675515813210065,5.98078886292945e-10,173.89024530452988,5.441433900239156e-10,2.2788081872469063e-08,4.146932514023812e-07,4.147006288710625e-07,4.5627026027454825e-07,0.0,200.1220335104704,0.0
81,11.964438900605208,11.964438877765717,11.964438877221847,5.952548727096958e-10,173.8902453045229,5.438709337868045e-10,2.2788104610286036e-08,4.146936651533797e-07,4.14701042613858e-07,4.5305091155499893e-07,0.0,200.12203352650772,0.0
82,205.30741252785464,205.30741250501765,205.30741250447406,5.924840643271071e-10,173.89024530451354,5.435964745009613e-10,2.2788113038252754e-08,4.146938185159131e-07,4.1470119597444107e-07,4.5096399105455335e-07,0.0,200.12203354460468,0.0
83,112.10595894260032,112.10595891976577,112.10595891922245,5.897649640469773e-10,173.89024530450192,5.433224821042113e-10,2.2788114249529847e-08,4.1469384055666245e-07,4.1470121801456473e-07,4.513025398176447e-07,0.0,200.1220335623357,0.0
84,125.97892275619226,125.9789227333601,125.97892273281704,5.870961717521257e-10,173.890245304488,5.43055551883677e-10,2.2788115767130737e-08,4.1469386817129623e-07,4.1470124562837864e-07,4.517944381500644e-07,0.0,200.12203357954814,0.0
85,125.51873030178233,125.51873027895253,125.51873027840975,5.844763320940695e-10,173.8902453044719,5.427902847394886e-10,2.2788117224749826e-08,4.146938946944621e-07,4.147012721507444e-07,4.52286461025086e-07,0.0,200.1220335962421,0.0
86,126.16638946963867,126.16638944681118,126.16638944626867,5.81904121629666e-10,173.89024530445366,5.425229224034779e-10,2.2788118673462463e-08,4.1469392105557087e-07,4.1470129851106164e-07,4.5277094417513373e-07,0.0,200.12203361242481,0.0
87,123.7456618517736,123.74566182894836,123.7456618284061,5.793783376979083e-10,173.89024530443325,5.422558985000928e-10,2.2788120053844538e-08,4.146939461733208e-07,4.1470132362805715e-07,4.532332174766794e-07,0.0,200.1220336281186,0.0
88,503.85239901147537,503.85239898865234,503.8523989881104,5.768977452811273e-10,173.89024530441083,5.419915154075078e-10,2.278812142907291e-08,4.146939711973834e-07,4.147013486514134e-07,4.536296847558793e-07,0.0,200.1220336433895,0.0
89,567.0454311882975,567.0454311654765,567.0454311649349,5.744613089619406e-10,173.89024530438627,5.417273550632876e-10,2.278812268959209e-08,4.1469399413411067e-07,4.1470137158746677e-07,4.540302772490018e-07,0.0,200.12203365823342,0.0
90,416.74175064695436,416.7417506241356,416.74175062359416,5.720679189423053e-10,173.8902453043598,5.414648884140906e-10,2.278812383593238e-08,4.1469401499316415e-07,4.1470139244588465e-07,4.544298823089659e-07,0.0,200.1220336726515,0.0
91,550.4052139164213,550.4052138936047,550.4052138930635,5.697165567889822e-10,173.89024530433133,5.412039299783027e-10,2.27881250283448e-08,4.146940366906374e-07,4.147014141427374e-07,4.547837293690087e-07,0.0,200.1220336866897,0.0
92,771.2338242827882,771.2338242599736,771.2338242594327,5.674062522739488e-10,173.89024530430103,5.409035669361676e-10,2.278812645907646e-08,4.1469406272461194e-07,4.1470144017595607e-07,4.5522502678724385e-07,0.0,200.12203370025654,0.0
93,811.2124266958089,811.2124266729961,811.2124266724555,5.651360665015103e-10,173.89024530426886,5.406303415442419e-10,2.2788127573397315e-08,4.14694083001089e-07,4.147014604518433e-07,4.55571593754334e-07,0.0,200.12203371344953,0.0
94,807.1857416271649,807.1857416043542,807.1857416038139,5.629050716014557e-10,173.89024530423478,5.403702849513798e-10,2.278812849997106e-08,4.146940998612855e-07,4.147014773115571e-07,4.5585013176366484e-07,0.0,200.122033726338,0.0
95,815.5407859684861,815.5407859456775,815.5407859451373,5.607124457885738e-10,173.8902453041989,5.401126605864793e-10,2.278812937617764e-08,4.1469411580500017e-07,4.147014932548219e-07,4.561041430239613e-07,0.0,200.1220337389467,0.0
96,812.3197134534672,812.3197134306603,812.3197134301205,5.585573739305746e-10,173.89024530416128,5.398546230259583e-10,2.2788130243009955e-08,4.146941315781458e-07,4.147015090275266e-07,4.5635009294536415e-07,0.0,200.12203375128365,0.0
97,817.4532102074857,817.4532101846806,817.4532101841411,5.564391534248282e-10,173.89024530412186,5.396034126854933e-10,2.2788131112460704e-08,4.1469414739894624e-07,4.14701524847889e-07,4.565920155819698e-07,0.0,200.12203376335358,0.0
98,814.1315896115625,814.1315895887595,814.1315895882201,5.543570222114157e-10,173.8902453040808,5.393386622513016e-10,2.278813200869617e-08,4.1469416370713373e-07,4.1470154115562706e-07,4.568387204864818e-07,0.0,200.12203377515036,0.0
99,811.9170662853852,811.917066262584,811.9170662620448,5.523102743289754e-10,173.89024530403807,5.390659830712263e-10,2.2788132898845487e-08,4.14694179904584e-07,4.1470155735263497e-07,4.5707844638868874e-07,0.0,200.12203378668016,0.0
100,811.2124266955609,811.2124266727612,811.2124266722225,5.502982414439231e-10,173.8902453039937,5.387967801703898e-10,2.278813381348867e-08,4.1469419654773713e-07,4.147015739953359e-07,4.5732264426235065e-07,0.0,200.12203379793888,0.0
101,801.6485621908687,801.6485621680707,801.6485621675322,5.483202396386446e-10,173.89024530394775,5.385224040418257e-10,2.2788134733446228e-08,4.146942132875979e-07,4.1470159073474457e-07,4.575643271908972e-07,0.0,200.12203380892848,0.0
102,816.6479868589222,816.6479868361258,816.6479868355876,5.463754777091258e-10,173.8902453039003,5.382214135513468e-10,2.2788135551857343e-08,4.146942281797096e-07,4.1470160562646634e-07,4.5776245146923094e-07,0.0,200.12203381968985,0.0
103,812.5210359414192,812.5210359186246,812.5210359180867,5.44463116925582e-10,173.89024530385123,5.379641972903356e-10,2.2788136648163513e-08,4.1469424812846247e-07,4.147016255746768e-07,4.5805655297746284e-07,0.0,200.12203383013144,0.0
104,725.7802789288088,725.7802789060156,725.780278905478,5.425827635729615e-10,173.89024530380078,5.376183968905149e-10,2.2788137187695827e-08,4.146942579460562e-07,4.1470163539204536e-07,4.5814406233908673e-07,0.0,200.1220338404509,0.0
105,394.48262806652104,394.48262804372933,394.4826280431921,5.407346341975803e-10,173.8902453037489,5.372839829281898e-10,2.278813785132402e-08,4.1469427002169367e-07,4.147016474673734e-07,4.58299484964795e-07,0.0,200.1220338505816,0.0
106,128.05818578534016,128.0581857625502,128.0581857620131,5.389178686514926e-10,173.8902453036955,5.371017615585588e-10,2.278813966400411e-08,4.146943030056817e-07,4.147016804503926e-07,4.588894758990533e-07,0.0,200.12203386010404,0.0
107,195.44386517352976,195.443865150741,195.44386515020446,5.37131843560487e-10,173.890245303641,5.365577298353102e-10,2.278813892843101e-08,4.146942896212456e-07,4.1470166706646915e-07,4.5849018321606746e-07,0.0,200.1220338699714,0.0
108,128.00189223351967,128.00189221073268,128.00189221019616,5.353762013818436e-10,173.89024530358486,5.36500494361829e-10,2.2788141517188058e-08,4.1469433672697357e-07,4.147017141708368e-07,4.5929603456289797e-07,0.0,200.1220338790272,0.0
109,127.85539383709003,127.85539381430354,127.85539381376825,5.336506062241788e-10,173.89024530352836,5.352908825022856e-10,2.278813442466594e-08,4.146942076702112e-07,4.1470158511815184e-07,4.566193162432176e-07,0.0,200.12203389063865,0.0
110,771.3345662894114,771.3345662666259,771.3345662660912,5.319530805335766e-10,173.8902453034708,5.347407710685797e-10,2.278812350035387e-08,4.146940088895463e-07,4.147013863437733e-07,4.524821699925936e-07,0.0,200.12203390633204,0.0
